account_id,customer_id,account_type,branch_id,account_status,open_date
A000001,C00011,CHECKING,BR003,ACTIVE,2019-01-23
A000002,C00069,SAVINGS,BR007,ACTIVE,2024-10-22
A000003,C00078,BROKERAGE,BR001,ACTIVE,2020-05-12
A000004,C00018,BROKERAGE,BR003,DORMANT,2024-12-15
A000005,C00055,WEALTH,BR010,ACTIVE,2023-12-18
A000006,C00060,WEALTH,BR012,DORMANT,2023-10-14
A000007,C00067,WEALTH,BR008,DORMANT,2024-04-28
A000008,C00010,BROKERAGE,BR005,ACTIVE,2022-02-09
A000009,C00064,WEALTH,BR008,ACTIVE,2022-01-29
A000010,C00021,BROKERAGE,BR002,ACTIVE,2021-08-18
A000011,C00080,CREDIT_CARD,BR006,ACTIVE,2025-01-21
A000012,C00014,SAVINGS,BR003,ACTIVE,2023-04-18
A000013,C00004,CHECKING,BR012,ACTIVE,2023-08-27
A000014,C00077,BROKERAGE,BR006,ACTIVE,2023-08-31
A000015,C00026,SAVINGS,BR004,DORMANT,2023-05-15
A000016,C00025,WEALTH,BR012,ACTIVE,2025-06-16
A000017,C00050,BROKERAGE,BR008,ACTIVE,2022-12-11
A000018,C00027,CREDIT_CARD,BR007,DORMANT,2023-09-13
A000019,C00001,WEALTH,BR012,ACTIVE,2021-06-22
A000020,C00046,BROKERAGE,BR004,ACTIVE,2024-06-12
A000021,C00020,SAVINGS,BR007,ACTIVE,2023-07-15
A000022,C00044,CHECKING,BR008,CLOSED,2024-12-27
A000023,C00065,SAVINGS,BR007,ACTIVE,2019-04-22
A000024,C00049,SAVINGS,BR011,ACTIVE,2024-03-06
A000025,C00072,CHECKING,BR001,ACTIVE,2022-09-02
A000026,C00066,CHECKING,BR008,ACTIVE,2023-04-02
A000027,C00031,CREDIT_CARD,BR007,ACTIVE,2019-12-02
A000028,C00051,BROKERAGE,BR001,ACTIVE,2019-08-02
A000029,C00017,CREDIT_CARD,BR004,ACTIVE,2019-06-14
A000030,C00009,SAVINGS,BR004,ACTIVE,2019-03-25
A000031,C00002,WEALTH,BR003,ACTIVE,2024-04-23
A000032,C00074,SAVINGS,BR010,CLOSED,2024-03-19
A000033,C00028,CREDIT_CARD,BR006,ACTIVE,2020-04-14
A000034,C00034,CHECKING,BR005,ACTIVE,2019-04-16
A000035,C00007,CREDIT_CARD,BR010,ACTIVE,2023-03-18
A000036,C00059,BROKERAGE,BR012,ACTIVE,2021-09-21
A000037,C00056,SAVINGS,BR012,ACTIVE,2020-05-10
A000038,C00038,WEALTH,BR001,ACTIVE,2023-10-21
