loan_id,customer_id,loan_type,loan_amount,interest_rate,emi_amount,loan_status,disbursement_date
L000001,C00004,BUSINESS,688924.94,16.62,11807.98,CLOSED,2023-01-11
L000002,C00044,BUSINESS,113460.31,4.63,1183.01,DELINQUENT,2021-06-23
L000003,C00020,PERSONAL,304229.9,14.93,7226.43,ACTIVE,2021-03-17
L000004,C00038,EDUCATION,48068.32,13.03,564.18,CLOSED,2023-12-01
L000005,C00041,BUSINESS,304492.1,13.69,4671.15,DEFAULTED,2025-01-17
L000006,C00052,PERSONAL,10887.16,8.28,133.71,CLOSED,2021-10-28
L000007,C00057,BUSINESS,484690.11,16.48,8264.77,CLOSED,2024-08-28
L000008,C00039,GOLD,262211.71,15.46,3542.23,ACTIVE,2022-02-09
L000009,C00067,HOME,32542.78,9.02,293.21,CLOSED,2021-09-16
L000010,C00021,EDUCATION,216526.26,5.75,2376.79,ACTIVE,2022-11-29
L000011,C00055,HOME,25778.96,15.25,419.86,ACTIVE,2022-09-15
L000012,C00046,EDUCATION,87279.22,5.31,2628.0,ACTIVE,2023-11-06
L000013,C00001,HOME,40560.99,13.29,3628.32,ACTIVE,2024-03-18
L000014,C00005,BUSINESS,257540.32,7.69,2104.75,WRITTEN_OFF,2024-03-04
L000015,C00074,GOLD,402300.05,12.54,13466.11,ACTIVE,2024-09-27
L000016,C00067,GOLD,109278.76,9.6,1025.77,ACTIVE,2022-11-03
L000017,C00055,EDUCATION,148453.67,15.01,3532.48,ACTIVE,2024-12-28
L000018,C00010,BUSINESS,66050.64,5.34,2907.8,ACTIVE,2023-07-03
L000019,C00034,PERSONAL,509232.72,9.94,6712.64,ACTIVE,2023-03-20
L000020,C00054,EDUCATION,376626.34,10.22,8043.03,CLOSED,2023-09-30
L000021,C00066,AUTO,112537.91,6.22,820.6,ACTIVE,2024-12-13
L000022,C00072,EDUCATION,92953.33,7.37,1856.86,ACTIVE,2021-11-18
L000023,C00074,PERSONAL,691664.53,6.1,13404.0,ACTIVE,2023-01-27
L000024,C00039,PERSONAL,35010.2,6.57,1074.14,ACTIVE,2023-02-06
L000025,C00007,PERSONAL,367014.53,15.18,17826.71,CLOSED,2023-05-14
L000026,C00071,PERSONAL,667347.62,7.41,5339.44,ACTIVE,2021-09-08
L000027,C00058,PERSONAL,55335.58,5.1,1046.79,ACTIVE,2024-03-04
L000028,C00018,PERSONAL,587105.26,10.92,6028.1,DEFAULTED,2021-09-29
L000029,C00042,EDUCATION,479162.9,14.78,6231.82,ACTIVE,2025-01-30
L000030,C00044,HOME,600859.66,13.47,13816.4,ACTIVE,2023-03-21
L000031,C00012,EDUCATION,39135.69,13.55,901.51,CLOSED,2024-08-15
L000032,C00016,AUTO,531870.43,12.22,5938.13,ACTIVE,2024-08-14
L000033,C00073,GOLD,421717.85,7.1,4918.26,ACTIVE,2021-04-19
L000034,C00024,EDUCATION,146099.93,10.92,12907.1,ACTIVE,2023-12-26
L000035,C00057,HOME,209847.08,7.28,1662.4,DEFAULTED,2024-04-01
L000036,C00003,HOME,606156.16,12.69,13695.91,ACTIVE,2023-10-04
L000037,C00012,PERSONAL,330577.98,10.1,4386.94,ACTIVE,2022-06-11
L000038,C00012,HOME,734940.65,11.81,24343.91,ACTIVE,2022-06-08
L000039,C00024,AUTO,233561.69,10.0,10777.69,ACTIVE,2022-10-29
L000040,C00042,HOME,536408.96,8.52,46790.44,ACTIVE,2023-04-26
L000041,C00077,PERSONAL,284757.3,15.67,25791.83,ACTIVE,2022-05-06
L000042,C00035,EDUCATION,181185.88,11.37,2533.93,ACTIVE,2021-08-24
L000043,C00030,HOME,242160.65,11.97,21512.28,ACTIVE,2023-04-15
L000044,C00017,HOME,205524.01,17.51,3094.59,ACTIVE,2024-02-11
L000045,C00048,PERSONAL,428343.0,10.52,4282.25,ACTIVE,2021-10-19
L000046,C00058,EDUCATION,739054.99,15.06,11950.71,DELINQUENT,2024-02-11
L000047,C00001,HOME,5745.79,10.77,78.4,ACTIVE,2021-12-09
L000048,C00049,HOME,700462.58,11.01,9652.84,ACTIVE,2024-10-24
L000049,C00069,PERSONAL,632616.81,7.37,7466.42,ACTIVE,2021-11-27
L000050,C00072,EDUCATION,57101.74,5.71,399.6,ACTIVE,2021-10-14
L000051,C00044,PERSONAL,659318.07,7.35,7774.7,DELINQUENT,2022-10-14
L000052,C00042,GOLD,199713.6,14.66,4715.6,ACTIVE,2024-09-18
L000053,C00018,PERSONAL,161914.8,17.45,5809.03,ACTIVE,2024-11-17
L000054,C00023,GOLD,692082.05,12.72,61724.0,DELINQUENT,2024-10-09
L000055,C00011,BUSINESS,419064.04,13.9,9729.17,CLOSED,2024-01-08
L000056,C00046,GOLD,490193.52,11.77,5319.06,ACTIVE,2021-09-10
L000057,C00002,BUSINESS,621462.79,9.33,28485.56,DEFAULTED,2024-11-28
L000058,C00036,HOME,349705.94,17.14,8717.44,ACTIVE,2021-02-10
L000059,C00039,GOLD,691442.02,9.33,60573.49,DEFAULTED,2024-07-04
L000060,C00078,GOLD,169755.02,17.73,6114.08,ACTIVE,2023-10-07
L000061,C00073,AUTO,10315.87,17.79,157.54,ACTIVE,2022-07-23
L000062,C00078,EDUCATION,373038.43,11.95,4094.48,CLOSED,2024-10-08
L000063,C00073,EDUCATION,135768.99,12.44,1536.79,ACTIVE,2022-06-16
L000064,C00003,AUTO,661347.3,14.34,22712.65,ACTIVE,2024-10-20
L000065,C00001,GOLD,509912.17,12.8,5901.5,ACTIVE,2023-07-19
L000066,C00056,BUSINESS,482519.88,17.23,44060.79,DEFAULTED,2022-10-24
L000067,C00006,BUSINESS,209156.52,13.68,4832.08,ACTIVE,2023-11-26
L000068,C00001,GOLD,172288.41,8.25,3514.04,ACTIVE,2022-10-10
L000069,C00055,BUSINESS,149983.06,5.6,1635.15,DEFAULTED,2022-04-08
L000070,C00005,HOME,688161.44,7.16,21298.81,ACTIVE,2024-07-06
