transaction_id,account_id,transaction_type,amount,currency,merchant_category,transaction_timestamp,transaction_status
T00000001,A000071,DEBIT,2307.79,USD,GROCERY,2025-05-13 22:56:18,COMPLETED
T00000002,A000031,TRANSFER,99999.0,USD,TRAVEL,2024-08-24 04:16:36,COMPLETED
T00000003,A000020,CREDIT,5734.24,USD,ECOMMERCE,2025-05-16 17:11:34,COMPLETED
T00000004,A000071,DEBIT,1528.93,INR,ELECTRONICS,2025-03-18 02:32:30,COMPLETED
T00000005,A000054,DEBIT,6302.8,USD,ATM_WITHDRAWAL,2025-03-04 21:22:11,COMPLETED
T00000006,A000085,CREDIT,1193.02,USD,INVESTMENT,2025-01-25 19:47:08,COMPLETED
T00000007,A000042,FEE,7846.29,USD,UTILITIES,2024-01-23 11:35:04,COMPLETED
T00000008,A000091,FEE,3052.94,INR,ELECTRONICS,2024-09-10 01:20:52,COMPLETED
T00000009,A000076,DEBIT,807.41,USD,ECOMMERCE,2024-01-08 05:14:54,COMPLETED
T00000010,A000084,INTEREST,603.25,USD,INSURANCE,2024-12-20 14:28:18,COMPLETED
T00000011,A000043,FEE,6875.44,USD,ECOMMERCE,2025-03-22 19:41:52,COMPLETED
T00000012,A000009,DEBIT,5476.77,USD,TRAVEL,2024-08-10 03:35:03,COMPLETED
T00000013,A000091,FEE,3552.21,EUR,GROCERY,2024-06-15 02:02:35,COMPLETED
T00000014,A000048,CREDIT,1957.36,INR,ELECTRONICS,2024-03-28 06:22:26,COMPLETED
T00000015,A000049,CREDIT,1930.43,USD,ECOMMERCE,2024-11-22 09:14:49,COMPLETED
T00000016,A000086,DEBIT,6438.04,INR,ELECTRONICS,2024-02-07 16:04:58,PENDING
T00000017,A000076,DEBIT,7696.42,USD,ATM_WITHDRAWAL,2024-04-11 14:00:22,FAILED
T00000018,A000014,DEBIT,4577.52,GBP,ATM_WITHDRAWAL,2024-01-12 23:57:55,COMPLETED
T00000019,A000002,CREDIT,5487.97,USD,INSURANCE,2025-01-16 18:05:07,COMPLETED
T00000020,A000037,TRANSFER,1844.8,USD,HEALTHCARE,2024-11-13 09:07:30,COMPLETED
T00000021,A000093,TRANSFER,5448.44,USD,GROCERY,2024-06-07 16:02:59,COMPLETED
T00000022,A000047,TRANSFER,725.62,INR,ELECTRONICS,2024-04-12 04:48:42,COMPLETED
T00000023,A000047,CREDIT,7308.33,USD,ECOMMERCE,2025-05-10 10:44:44,COMPLETED
T00000024,A000044,TRANSFER,3749.31,INR,HEALTHCARE,2025-03-16 14:28:09,REVERSED
T00000025,A000072,DEBIT,10000.0,USD,ATM_WITHDRAWAL,2024-10-26 13:52:21,COMPLETED
T00000026,A000048,DEBIT,1874.41,EUR,INVESTMENT,2024-06-16 22:12:44,COMPLETED
T00000027,A000009,CREDIT,3716.82,INR,TRAVEL,2024-03-12 01:39:03,PENDING
T00000028,A000039,REFUND,933.38,USD,UTILITIES,2024-08-20 13:30:29,COMPLETED
T00000029,A000096,CREDIT,4323.84,INR,UTILITIES,2024-12-01 03:36:18,COMPLETED
T00000030,A000079,CREDIT,7612.41,USD,ECOMMERCE,2024-08-15 08:35:47,FAILED
T00000031,A000013,REFUND,2941.84,INR,GROCERY,2024-07-22 10:02:40,COMPLETED
T00000032,A000016,INTEREST,6594.41,USD,INSURANCE,2025-05-12 00:46:39,COMPLETED
T00000033,A000043,DEBIT,1011.76,USD,INVESTMENT,2024-04-16 21:20:58,COMPLETED
T00000034,A000030,DEBIT,1184.7,USD,ELECTRONICS,2025-05-20 04:43:58,COMPLETED
T00000035,A000023,DEBIT,6932.25,USD,HEALTHCARE,2024-10-28 11:47:17,COMPLETED
T00000036,A000034,DEBIT,5935.04,INR,ECOMMERCE,2024-08-17 13:10:53,COMPLETED
T00000037,A000014,CREDIT,1776.29,INR,INVESTMENT,2024-06-03 16:40:36,COMPLETED
T00000038,A000004,DEBIT,3834.46,INR,ECOMMERCE,2024-12-30 16:08:58,COMPLETED
T00000039,A000011,DEBIT,1190.93,INR,INSURANCE,2024-10-07 11:50:22,COMPLETED
T00000040,A000077,CREDIT,3632.45,USD,TRAVEL,2025-03-12 23:50:14,COMPLETED
T00000041,A000099,CREDIT,6924.61,EUR,UTILITIES,2024-06-22 16:30:41,COMPLETED
T00000042,A000094,DEBIT,3416.98,USD,ELECTRONICS,2024-12-17 17:16:03,COMPLETED
T00000043,A000011,DEBIT,777.03,EUR,INVESTMENT,2024-01-31 21:21:09,PENDING
T00000044,A000072,DEBIT,982.24,INR,UTILITIES,2025-03-20 01:52:23,REVERSED
T00000045,A000077,DEBIT,833.29,USD,ECOMMERCE,2024-04-24 03:56:24,COMPLETED
T00000046,A000072,DEBIT,6102.03,EUR,INVESTMENT,2025-05-13 22:38:10,COMPLETED
T00000047,A000083,CREDIT,4873.91,INR,GROCERY,2024-04-02 09:56:58,COMPLETED
T00000048,A000040,INTEREST,2811.43,USD,UTILITIES,2024-02-05 05:09:55,COMPLETED
T00000049,A000004,DEBIT,4246.21,USD,ELECTRONICS,2024-07-08 11:20:46,COMPLETED
T00000050,A000100,INTEREST,4771.81,USD,INSURANCE,2024-01-26 02:58:13,COMPLETED
T00000051,A000085,CREDIT,4858.57,USD,INVESTMENT,2024-02-28 12:34:02,COMPLETED
