currency,rate_to_usd,effective_month
USD,1.000000,2024-01-01
USD,1.000000,2024-06-01
USD,1.000000,2025-01-01
USD,1.000000,2025-06-01
USD,1.000000,2026-01-01
INR,0.012050,2024-01-01
INR,0.011980,2024-06-01
INR,0.011700,2025-01-01
INR,0.011650,2025-06-01
INR,0.011820,2026-01-01
EUR,1.088000,2024-01-01
EUR,1.078000,2024-06-01
EUR,1.040000,2025-01-01
EUR,1.052000,2025-06-01
EUR,1.072000,2026-01-01
GBP,1.272000,2024-01-01
GBP,1.265000,2024-06-01
GBP,1.230000,2025-01-01
GBP,1.255000,2025-06-01
GBP,1.265000,2026-01-01
